Date,News,URL,Sentiment,Source,regex_label,domain_score,generic_score,regex_reasons,finbert_label,finbert_confidence,ensemble_method
1/12/2015,Letter from Mumbai: Ordinance route to reforms,https://www.dawn.com/news/1156340/letter-from-mumbai-ordinance-route-to-reforms,Neutral,Dawn,No Signal,0,0,,Neutral,0.8911131620407104,finbert_only
1/12/2015,Sindh fails to sell wheat stock and set sowing targets,https://www.dawn.com/news/1156349/sindh-fails-to-sell-wheat-stock-and-set-sowing-targets,Negative,Dawn,Negative,0,-2,2 negative word type(s),Negative,0.6200466156005859,agreement
1/12/2015,Farmers oppose duty-free imports from India,https://www.dawn.com/news/1156350/farmers-oppose-duty-free-imports-from-india,Negative,Dawn,No Signal,0,0,,Negative,0.6450033187866211,finbert_only
1/12/2015,Burj-NBP deal on the cards?,https://www.dawn.com/news/1156356/burj-nbp-deal-on-the-cards,Neutral,Dawn,No Signal,0,0,,Neutral,0.8805500864982605,finbert_only
1/12/2015,Property market poised for recovery?,https://www.dawn.com/news/1156360/property-market-poised-for-recovery,Neutral,Dawn,No Signal,0,0,,Neutral,0.7095412611961365,finbert_only
1/12/2015,Energy policy takeoff,https://www.dawn.com/news/1156362/energy-policy-takeoff,Neutral,Dawn,No Signal,0,0,,Neutral,0.9335178136825562,finbert_only
1/11/2015,Pakistan and the IMF: The ties that bind,https://www.dawn.com/news/1155958/pakistan-and-the-imf-the-ties-that-bind,Neutral,Dawn,No Signal,0,0,,Neutral,0.8988109230995178,finbert_only
1/11/2015,Record investment in govt papers,https://www.dawn.com/news/1156261/record-investment-in-govt-papers,Positive,Dawn,No Signal,0,0,,Positive,0.8416868448257446,finbert_only
1/11/2015,"Stocks outperform gold, oil",https://www.dawn.com/news/1156262/stocks-outperform-gold-oil,Positive,Dawn,No Signal,0,0,,Positive,0.5790802836418152,finbert_only
1/11/2015,Progress on change of base year reviewed,https://www.dawn.com/news/1156264/progress-on-change-of-base-year-reviewed,Neutral,Dawn,No Signal,0,0,,Neutral,0.9263603687286377,finbert_only
1/11/2015,Sindh prepares to export wheat amid price worries,https://www.dawn.com/news/1156266/sindh-prepares-to-export-wheat-amid-price-worries,Positive,Dawn,No Signal,0,0,,Positive,0.5638826489448547,finbert_only
1/8/2015,"Pakistani stocks breach 33,000 mark",https://www.dawn.com/news/1155709/pakistani-stocks-breach-33000-mark,Negative,Dawn,No Signal,0,0,,Negative,0.9158939719200134,finbert_only
